Date;Quote Name;Quote Type;Bid ;Ask ;Open ;Close ;High ;Low ;Last ;Entered Date;Entered User;EstimatedB;Known Date;Source Name
01/09/2026;FX.USD.BRL;Price;5.14;5.14;NaN;5.14;NaN;NaN;5.14;01/09/2026 18:03:19;t21888;false;01/09/2026;CDUF
01/09/2026;FX.USD.PEN;Price;3.37;3.37;NaN;3.37;NaN;NaN;3.37;01/09/2026 18:03:19;t21888;false;01/09/2026;CDUF
01/09/2026;FX.USD.MXN;Price;16.99;16.99;NaN;16.99;NaN;NaN;16.99;01/09/2026 18:03:19;t21888;false;01/09/2026;CDUF
01/09/2026;FX.USD.CLP;Price;936.28;936.28;NaN;936.28;NaN;NaN;936.28;01/09/2026 18:03:19;t21888;false;01/09/2026;CDUF
01/09/2026;FX.USD.COP;Price;3,165.57;3,165.57;NaN;3,165.57;NaN;NaN;3,165.57;01/09/2026 18:03:19;t21888;false;01/09/2026;CDUF
01/09/2026;FX.EUR.USD;Price;1.16;1.16;NaN;1.16;NaN;NaN;1.16;01/09/2026 18:03:19;t21888;false;01/09/2026;CDUF
